applicant_id,jurisdiction,age,age_group,gender,protected_group,income,employment_status,credit_score,debt_to_income,loan_amount,loan_term_months,loan_purpose,prior_default,region_risk_score,default_next_12m,model_score,approved,manual_review,decision_reason_1,decision_reason_2
APP-00045,UK,35,35-49,Male,0,27532,Full-time,680,0.174,73894,36,Credit card consolidation,0,0.485,0,0.044,1,0,Approved,Approved
APP-00046,Singapore,34,25-34,Female,0,71401,Part-time,642,0.579,72450,60,Small business,0,0.494,0,0.3347,0,0,High debt-to-income ratio,Elevated regional portfolio risk
APP-00047,US,61,50-64,Male,0,129465,Part-time,714,0.204,78892,36,Education,0,0.05,0,0.0173,1,0,Approved,Approved
APP-00048,EU,49,35-49,Female,0,59587,Full-time,817,0.215,38323,36,Auto,0,0.657,0,0.0186,1,0,Approved,Approved
APP-00049,EU,46,35-49,Female,0,67745,Full-time,790,0.258,141339,48,Auto,0,0.513,0,0.0266,1,0,Approved,Approved
APP-00050,UK,68,65+,Male,0,38759,Full-time,667,0.237,40168,84,Personal,0,0.495,0,0.0819,1,0,Approved,Approved
APP-00051,EU,65,65+,Male,0,34819,Full-time,437,0.163,19102,48,Auto,0,0.778,0,0.4257,0,0,Low credit score,Elevated regional portfolio risk
APP-00052,US,19,18-24,Female,0,68174,Unemployed,661,0.606,117117,60,Home improvement,0,0.678,0,0.3909,0,0,High debt-to-income ratio,Elevated regional portfolio risk
APP-00053,Singapore,48,35-49,Female,0,35887,Part-time,793,0.326,18368,36,Education,0,0.372,0,0.0316,1,0,Approved,Approved
APP-00054,US,32,25-34,Male,1,35564,Full-time,680,0.374,24748,12,Credit card consolidation,0,0.602,1,0.0962,1,0,Approved,Approved
APP-00055,Singapore,39,35-49,Female,0,43325,Self-employed,722,0.312,42016,48,Education,0,0.494,0,0.0529,1,0,Approved,Approved
APP-00056,EU,18,18-24,Female,0,32369,Part-time,769,0.356,37683,36,Education,0,0.436,0,0.0468,1,0,Approved,Approved
APP-00057,Singapore,30,25-34,Female,1,39988,Full-time,822,0.222,52846,48,Auto,0,0.815,0,0.025,1,0,Approved,Approved
APP-00058,US,18,18-24,Female,1,55510,Full-time,830,0.495,26057,12,Personal,0,0.605,0,0.0405,1,0,Approved,Approved
APP-00059,US,34,25-34,Male,0,72824,Full-time,850,0.409,145901,84,Auto,0,0.713,0,0.0411,1,0,Approved,Approved
APP-00060,Singapore,57,50-64,Male,1,57588,Part-time,629,0.098,26615,24,Home improvement,0,0.449,0,0.0556,1,0,Approved,Approved
APP-00061,US,50,50-64,Male,1,20535,Full-time,545,0.272,38895,48,Small business,0,0.308,1,0.211,0,1,Low credit score,Income insufficient for requested loan
APP-00062,EU,57,50-64,Male,0,33047,Self-employed,701,0.537,16398,48,Personal,0,0.348,0,0.144,1,0,Approved,Approved
APP-00063,EU,48,35-49,Female,1,51268,Self-employed,763,0.427,35225,24,Small business,0,0.545,0,0.0629,1,0,Approved,Approved
APP-00064,EU,19,18-24,Female,0,89349,Full-time,641,0.221,34139,84,Credit card consolidation,0,0.645,0,0.0743,1,0,Approved,Approved
APP-00065,US,50,50-64,Male,1,18000,Self-employed,508,0.604,102784,48,Credit card consolidation,1,0.449,0,0.817,0,0,Low credit score,Income insufficient for requested loan
APP-00066,EU,21,18-24,Male,1,94049,Full-time,534,0.513,26111,60,Credit card consolidation,0,0.322,0,0.3241,0,0,Low credit score,High debt-to-income ratio
APP-00067,EU,65,65+,Female,0,30036,Full-time,710,0.209,61794,48,Credit card consolidation,0,0.734,0,0.0566,1,0,Approved,Approved
APP-00068,Singapore,32,25-34,Male,1,20109,Full-time,808,0.414,36416,36,Auto,0,0.487,0,0.0464,1,0,Approved,Approved
APP-00069,US,22,18-24,Female,0,52864,Self-employed,760,0.225,68345,12,Small business,0,0.634,0,0.0279,1,0,Approved,Approved
APP-00070,US,52,50-64,Male,1,52386,Full-time,739,0.341,69791,60,Credit card consolidation,0,0.387,1,0.0471,1,0,Approved,Approved
APP-00071,Singapore,59,50-64,Female,1,51076,Full-time,651,0.256,19749,84,Personal,1,0.524,0,0.2184,0,1,Prior default history,Elevated regional portfolio risk
APP-00072,US,51,50-64,Female,0,27327,Self-employed,723,0.28,103348,60,Personal,0,0.332,0,0.0472,1,0,Approved,Approved
APP-00073,US,44,35-49,Female,1,56795,Full-time,587,0.39,46376,48,Home improvement,1,0.95,1,0.5892,0,0,Prior default history,Elevated regional portfolio risk
APP-00074,US,31,25-34,Female,0,98566,Part-time,570,0.118,21786,60,Credit card consolidation,1,0.47,0,0.1811,1,1,Approved,Approved
APP-00075,US,20,18-24,Male,0,131833,Part-time,643,0.255,82116,36,Credit card consolidation,0,0.285,0,0.0462,1,0,Approved,Approved
APP-00076,EU,21,18-24,Male,0,142359,Full-time,833,0.354,62975,48,Credit card consolidation,0,0.205,0,0.0094,1,0,Approved,Approved
APP-00077,UK,20,18-24,Female,1,33947,Unemployed,592,0.744,37621,60,Credit card consolidation,0,0.887,1,0.7305,0,0,High debt-to-income ratio,Elevated regional portfolio risk
APP-00078,EU,24,18-24,Male,1,34614,Part-time,598,0.62,65182,36,Education,1,0.52,1,0.7043,0,0,Prior default history,High debt-to-income ratio
APP-00079,US,52,50-64,Male,1,27464,Full-time,684,0.406,42948,48,Credit card consolidation,0,0.391,0,0.1056,1,0,Approved,Approved
APP-00080,US,59,50-64,Female,1,39614,Full-time,721,0.072,44760,24,Auto,0,0.421,0,0.0198,1,0,Approved,Approved
APP-00081,US,61,50-64,Male,0,54666,Self-employed,809,0.229,36829,48,Credit card consolidation,0,0.426,0,0.0143,1,0,Approved,Approved
APP-00082,EU,72,65+,Male,1,96814,Full-time,666,0.575,71275,24,Auto,0,0.415,0,0.196,1,1,Approved,Approved
APP-00083,US,60,50-64,Female,0,40302,Full-time,734,0.189,34595,24,Credit card consolidation,0,0.247,0,0.0198,1,0,Approved,Approved
APP-00084,EU,24,18-24,Female,0,33887,Full-time,567,0.413,56029,36,Small business,0,0.119,0,0.2167,0,1,Low credit score,High debt-to-income ratio
APP-00085,Singapore,72,65+,Male,0,76211,Full-time,733,0.533,23112,36,Credit card consolidation,0,0.447,0,0.0953,1,0,Approved,Approved
APP-00086,US,27,25-34,Male,0,66325,Full-time,667,0.24,17981,60,Credit card consolidation,0,0.513,0,0.0568,1,0,Approved,Approved
APP-00087,US,35,35-49,Male,1,73184,Part-time,795,0.302,69292,12,Auto,0,0.525,0,0.0285,1,0,Approved,Approved
APP-00088,US,21,18-24,Male,0,31926,Full-time,780,0.114,36046,60,Credit card consolidation,0,0.534,0,0.0146,1,0,Approved,Approved
APP-00089,EU,29,25-34,Male,1,38316,Full-time,682,0.387,30395,36,Credit card consolidation,0,0.572,0,0.1039,1,0,Approved,Approved
APP-00090,US,50,50-64,Female,0,27826,Part-time,773,0.117,54467,36,Home improvement,0,0.456,0,0.0206,1,0,Approved,Approved
APP-00091,EU,49,35-49,Male,0,18000,Full-time,700,0.199,15049,36,Home improvement,0,0.537,0,0.0532,1,0,Approved,Approved
APP-00092,EU,52,50-64,Female,1,18000,Part-time,642,0.068,60485,12,Credit card consolidation,0,0.328,0,0.038,1,0,Approved,Approved
APP-00093,EU,24,18-24,Male,0,91289,Full-time,455,0.267,40398,60,Auto,0,0.808,0,0.427,0,0,Low credit score,Elevated regional portfolio risk
APP-00094,Singapore,22,18-24,Male,0,55979,Self-employed,503,0.194,145584,12,Education,0,0.504,0,0.1813,1,1,Approved,Approved
APP-00095,US,73,65+,Male,0,18000,Full-time,716,0.235,8062,24,Home improvement,0,0.323,0,0.0419,1,0,Approved,Approved
APP-00096,US,61,50-64,Male,1,64730,Full-time,699,0.358,118724,84,Auto,0,0.398,0,0.0939,1,0,Approved,Approved
APP-00097,UK,64,50-64,Female,0,207445,Full-time,850,0.425,21939,36,Credit card consolidation,0,0.578,0,0.0121,1,0,Approved,Approved
APP-00098,US,29,25-34,Female,0,46869,Full-time,678,0.481,79140,36,Personal,0,0.628,0,0.1736,1,0,Approved,Approved
APP-00099,US,46,35-49,Female,0,150007,Unemployed,665,0.171,18838,24,Home improvement,0,0.396,0,0.0327,1,0,Approved,Approved
APP-00100,US,31,25-34,Female,0,58124,Full-time,551,0.139,112440,36,Credit card consolidation,0,0.76,0,0.1375,1,0,Approved,Approved
APP-00101,US,44,35-49,Female,0,47494,Self-employed,714,0.229,31724,48,Education,0,0.526,0,0.0406,1,0,Approved,Approved
APP-00102,Singapore,68,65+,Female,0,44259,Part-time,640,0.255,9671,60,Home improvement,0,0.414,0,0.1142,1,0,Approved,Approved
APP-00103,EU,51,50-64,Male,0,66452,Full-time,732,0.448,76872,36,Education,0,0.774,0,0.1087,1,0,Approved,Approved
APP-00104,EU,42,35-49,Female,0,139300,Full-time,603,0.204,119010,24,Small business,0,0.615,0,0.0771,1,0,Approved,Approved
APP-00105,EU,39,35-49,Male,1,29262,Full-time,619,0.351,30555,24,Credit card consolidation,0,0.649,0,0.1663,1,0,Approved,Approved
APP-00106,EU,48,35-49,Female,0,47271,Full-time,606,0.109,24411,48,Home improvement,0,0.544,0,0.0761,1,0,Approved,Approved
APP-00107,EU,42,35-49,Female,0,22889,Full-time,515,0.203,63130,48,Home improvement,0,0.307,0,0.205,0,1,Low credit score,Income insufficient for requested loan
APP-00108,US,64,50-64,Male,0,69802,Full-time,535,0.4,16534,36,Credit card consolidation,1,0.257,1,0.4423,0,0,Low credit score,Prior default history
APP-00109,US,39,35-49,Female,0,76288,Unemployed,616,0.383,24954,36,Personal,0,0.55,0,0.1868,1,1,Approved,Approved
APP-00110,US,29,25-34,Male,1,55254,Full-time,628,0.474,18388,24,Personal,0,0.698,0,0.233,0,0,High debt-to-income ratio,Elevated regional portfolio risk
APP-00111,US,33,25-34,Female,0,46703,Full-time,559,0.378,148468,60,Credit card consolidation,0,0.218,0,0.2144,0,1,Low credit score,Income insufficient for requested loan
APP-00112,EU,73,65+,Male,1,54674,Part-time,591,0.503,37240,36,Education,0,0.659,0,0.3944,0,0,Low credit score,High debt-to-income ratio
APP-00113,US,73,65+,Male,0,44400,Self-employed,594,0.295,16738,60,Small business,1,0.492,0,0.3604,0,0,Prior default history,Low credit score
APP-00114,EU,42,35-49,Male,0,79127,Part-time,648,0.175,13130,24,Home improvement,0,0.521,0,0.0606,1,0,Approved,Approved
APP-00115,EU,75,65+,Female,0,42201,Full-time,677,0.214,14293,24,Auto,0,0.441,0,0.055,1,0,Approved,Approved
APP-00116,UK,46,35-49,Male,1,29482,Full-time,659,0.148,48475,48,Personal,0,0.176,0,0.037,1,0,Approved,Approved
APP-00117,Singapore,27,25-34,Female,0,78501,Full-time,711,0.347,17236,60,Auto,1,0.487,0,0.1565,1,0,Approved,Approved
APP-00118,Singapore,32,25-34,Male,1,46686,Full-time,740,0.142,66629,36,Small business,0,0.599,0,0.0272,1,0,Approved,Approved
APP-00119,Singapore,52,50-64,Female,0,23906,Full-time,715,0.446,19826,36,Credit card consolidation,0,0.577,0,0.1115,1,0,Approved,Approved
APP-00120,EU,46,35-49,Female,0,71163,Full-time,701,0.42,18477,12,Auto,0,0.426,0,0.0808,1,0,Approved,Approved
APP-00121,US,32,25-34,Female,0,56722,Full-time,644,0.13,55773,60,Education,0,0.309,0,0.0404,1,0,Approved,Approved
APP-00122,US,42,35-49,Male,0,74355,Full-time,643,0.556,42167,12,Credit card consolidation,0,0.914,1,0.2931,0,0,Elevated regional portfolio risk,High debt-to-income ratio
APP-00123,EU,28,25-34,Male,1,45025,Full-time,710,0.457,106850,60,Credit card consolidation,1,0.501,1,0.2535,0,0,Prior default history,High debt-to-income ratio
APP-00124,US,75,65+,Male,0,57138,Self-employed,704,0.331,13548,36,Education,0,0.565,0,0.0679,1,0,Approved,Approved
APP-00125,Singapore,24,18-24,Male,0,87263,Full-time,636,0.133,5980,36,Small business,0,0.45,0,0.0424,1,0,Approved,Approved
APP-00126,US,68,65+,Female,0,46195,Full-time,574,0.248,14100,12,Credit card consolidation,1,0.45,0,0.2677,0,0,Prior default history,Low credit score
APP-00127,Singapore,38,35-49,Female,0,36902,Full-time,609,0.283,40365,48,Small business,0,0.451,0,0.1407,1,0,Approved,Approved
APP-00128,UK,49,35-49,Female,0,63311,Full-time,639,0.2,28127,24,Credit card consolidation,0,0.644,0,0.0663,1,0,Approved,Approved
APP-00129,US,65,65+,Female,0,132643,Unemployed,814,0.155,132768,36,Personal,0,0.378,0,0.009,1,0,Approved,Approved
APP-00130,EU,45,35-49,Male,1,72620,Full-time,619,0.276,13638,24,Credit card consolidation,0,0.137,0,0.0573,1,0,Approved,Approved
APP-00131,Singapore,51,50-64,Female,1,38319,Full-time,819,0.603,32633,36,Education,0,0.732,0,0.1029,1,0,Approved,Approved
APP-00132,US,61,50-64,Female,0,59650,Full-time,850,0.155,65112,60,Home improvement,0,0.42,0,0.0093,1,0,Approved,Approved
APP-00133,US,37,35-49,Male,1,28574,Full-time,576,0.486,109022,36,Small business,0,0.781,0,0.4648,0,0,Low credit score,Income insufficient for requested loan
APP-00134,UK,26,25-34,Male,0,27234,Self-employed,804,0.258,39920,36,Small business,0,0.675,0,0.0281,1,0,Approved,Approved
APP-00135,US,20,18-24,Male,1,38189,Self-employed,585,0.443,5156,48,Credit card consolidation,0,0.408,0,0.2254,0,1,Low credit score,High debt-to-income ratio
APP-00136,UK,61,50-64,Female,1,80719,Part-time,769,0.356,53017,48,Credit card consolidation,0,0.458,0,0.0408,1,0,Approved,Approved
APP-00137,US,37,35-49,Male,1,73997,Self-employed,645,0.498,32170,48,Auto,0,0.562,1,0.2112,0,1,High debt-to-income ratio,Elevated regional portfolio risk
APP-00138,US,22,18-24,Female,0,37972,Full-time,499,0.11,42706,84,Education,0,0.41,0,0.1662,1,0,Approved,Approved
APP-00139,US,40,35-49,Female,1,47125,Full-time,718,0.238,77073,36,Auto,0,0.549,0,0.0482,1,0,Approved,Approved
APP-00140,US,66,65+,Male,1,20266,Full-time,650,0.102,118678,48,Auto,0,0.595,0,0.0686,1,0,Approved,Approved
APP-00141,US,47,35-49,Female,1,67765,Full-time,686,0.5,30524,48,Credit card consolidation,0,0.45,0,0.1294,1,0,Approved,Approved
APP-00142,US,19,18-24,Male,0,40461,Full-time,665,0.365,6249,60,Education,0,0.671,0,0.1339,1,0,Approved,Approved
APP-00143,Singapore,19,18-24,Female,1,42104,Full-time,687,0.223,49841,24,Credit card consolidation,0,0.633,0,0.0506,1,0,Approved,Approved
APP-00144,EU,53,50-64,Male,1,19305,Unemployed,659,0.288,28846,24,Credit card consolidation,0,0.484,0,0.104,1,0,Approved,Approved
APP-00145,US,50,50-64,Female,1,40774,Part-time,850,0.203,15120,12,Small business,0,0.661,0,0.0154,1,0,Approved,Approved
APP-00146,EU,53,50-64,Female,1,51324,Full-time,605,0.49,94041,36,Credit card consolidation,0,0.437,1,0.2503,0,0,Low credit score,High debt-to-income ratio
APP-00147,US,73,65+,Male,0,28748,Full-time,729,0.238,41600,24,Home improvement,0,0.472,0,0.0437,1,0,Approved,Approved
APP-00148,US,55,50-64,Male,0,83165,Full-time,787,0.359,54523,48,Personal,0,0.386,0,0.0285,1,0,Approved,Approved
APP-00149,EU,40,35-49,Male,1,106253,Full-time,665,0.286,23284,60,Personal,0,0.636,0,0.0723,1,0,Approved,Approved
APP-00150,US,19,18-24,Male,1,50572,Self-employed,661,0.346,48891,12,Education,0,0.316,0,0.0691,1,0,Approved,Approved
APP-00151,US,32,25-34,Female,0,46898,Self-employed,811,0.698,45767,60,Personal,0,0.601,0,0.1369,1,0,Approved,Approved
APP-00152,US,70,65+,Female,0,132137,Full-time,614,0.303,36512,48,Personal,0,0.588,0,0.1025,1,0,Approved,Approved
APP-00153,Singapore,47,35-49,Male,0,100585,Self-employed,652,0.146,29974,60,Personal,0,0.578,0,0.0423,1,0,Approved,Approved
APP-00154,UK,27,25-34,Female,0,66148,Part-time,701,0.161,18937,48,Auto,1,0.369,0,0.0857,1,0,Approved,Approved
APP-00155,UK,38,35-49,Female,0,24486,Unemployed,617,0.401,25602,36,Personal,0,0.648,0,0.2685,0,0,Elevated regional portfolio risk,Low credit score
APP-00156,US,36,35-49,Female,0,18000,Full-time,737,0.365,40987,36,Small business,0,0.432,0,0.0683,1,0,Approved,Approved
APP-00157,EU,75,65+,Female,1,69556,Full-time,727,0.181,95317,12,Auto,0,0.575,0,0.0317,1,0,Approved,Approved
APP-00158,Singapore,29,25-34,Female,0,18000,Full-time,545,0.168,97764,36,Education,0,0.705,0,0.1896,1,1,Approved,Approved
APP-00159,US,73,65+,Female,1,42614,Part-time,793,0.469,42565,60,Auto,0,0.422,0,0.078,1,0,Approved,Approved
APP-00160,EU,43,35-49,Male,1,145571,Full-time,826,0.183,60671,84,Personal,0,0.781,0,0.0119,1,0,Approved,Approved
APP-00161,EU,32,25-34,Male,0,82754,Self-employed,610,0.386,93490,36,Small business,0,0.338,0,0.1413,1,0,Approved,Approved
APP-00162,Singapore,60,50-64,Female,1,49121,Full-time,610,0.35,40520,48,Auto,0,0.54,1,0.1919,1,1,Approved,Approved
APP-00163,EU,70,65+,Female,0,94730,Full-time,734,0.278,29407,36,Credit card consolidation,0,0.682,0,0.0386,1,0,Approved,Approved
APP-00164,US,37,35-49,Female,0,51916,Full-time,685,0.376,20214,48,Small business,0,0.329,0,0.0867,1,0,Approved,Approved
APP-00165,US,41,35-49,Female,1,66935,Full-time,571,0.524,52327,48,Personal,1,0.88,0,0.7014,0,0,Prior default history,Low credit score
APP-00166,US,54,50-64,Female,0,102329,Full-time,583,0.381,21043,36,Education,0,0.668,0,0.2012,0,1,Low credit score,Elevated regional portfolio risk
APP-00167,US,53,50-64,Male,0,108237,Full-time,660,0.492,62620,36,Credit card consolidation,0,0.605,0,0.1494,1,0,Approved,Approved
APP-00168,EU,25,25-34,Female,0,39875,Unemployed,607,0.127,107434,60,Credit card consolidation,0,0.887,0,0.1357,1,0,Approved,Approved
APP-00169,US,23,18-24,Female,0,79544,Self-employed,653,0.25,18069,60,Credit card consolidation,0,0.63,0,0.0678,1,0,Approved,Approved
APP-00170,EU,31,25-34,Male,1,30449,Self-employed,850,0.155,35274,60,Auto,0,0.71,0,0.0133,1,0,Approved,Approved
APP-00171,US,50,50-64,Female,1,44619,Self-employed,614,0.265,39150,36,Personal,0,0.289,0,0.0863,1,0,Approved,Approved
APP-00172,UK,35,35-49,Female,1,73041,Part-time,702,0.29,87381,60,Credit card consolidation,0,0.505,0,0.0628,1,0,Approved,Approved
APP-00173,Singapore,28,25-34,Female,1,25184,Self-employed,674,0.149,72597,36,Education,0,0.403,0,0.0385,1,0,Approved,Approved
APP-00174,US,33,25-34,Female,0,26116,Unemployed,601,0.452,68330,24,Credit card consolidation,0,0.378,0,0.2592,0,0,Low credit score,High debt-to-income ratio
APP-00175,US,44,35-49,Female,0,63929,Full-time,732,0.177,49282,36,Credit card consolidation,0,0.428,0,0.0214,1,0,Approved,Approved
APP-00176,Singapore,57,50-64,Male,0,154658,Full-time,677,0.259,27067,36,Credit card consolidation,0,0.95,0,0.0573,1,0,Approved,Approved
APP-00177,Singapore,38,35-49,Male,1,43197,Full-time,681,0.292,14328,48,Home improvement,0,0.598,0,0.0891,1,0,Approved,Approved
APP-00178,US,66,65+,Female,0,63450,Full-time,558,0.366,58352,60,Home improvement,0,0.572,0,0.3024,0,0,Low credit score,Elevated regional portfolio risk
APP-00179,EU,65,65+,Male,0,34172,Full-time,723,0.429,34394,48,Auto,0,0.348,0,0.0923,1,0,Approved,Approved
APP-00180,EU,60,50-64,Male,0,79014,Full-time,598,0.414,29788,24,Auto,1,0.633,0,0.4448,0,0,Prior default history,Low credit score
APP-00181,EU,29,25-34,Male,1,63869,Full-time,707,0.503,14185,48,Auto,0,0.411,0,0.1204,1,0,Approved,Approved
APP-00182,US,49,35-49,Female,1,23601,Full-time,668,0.382,36518,12,Education,0,0.453,0,0.1097,1,0,Approved,Approved
APP-00183,Singapore,68,65+,Male,1,51078,Full-time,850,0.471,11958,24,Auto,0,0.486,0,0.0347,1,0,Approved,Approved
APP-00184,US,29,25-34,Female,0,27823,Full-time,630,0.4,98644,24,Auto,0,0.433,1,0.1786,1,0,Approved,Approved
APP-00185,EU,60,50-64,Female,0,40541,Self-employed,537,0.245,12804,36,Home improvement,1,0.492,1,0.4077,0,0,Low credit score,Prior default history
APP-00186,EU,29,25-34,Female,0,92030,Part-time,683,0.179,56030,84,Personal,0,0.58,0,0.0519,1,0,Approved,Approved
APP-00187,US,46,35-49,Female,1,31154,Part-time,681,0.469,39204,48,Home improvement,0,0.527,0,0.2077,0,1,High debt-to-income ratio,Elevated regional portfolio risk
APP-00188,EU,45,35-49,Female,0,29061,Full-time,720,0.154,21522,48,Personal,0,0.64,0,0.0366,1,0,Approved,Approved
APP-00189,Singapore,31,25-34,Male,0,86786,Full-time,629,0.265,37336,48,Home improvement,0,0.391,0,0.0803,1,0,Approved,Approved
APP-00190,EU,66,65+,Male,1,33585,Part-time,614,0.239,114918,48,Personal,0,0.735,0,0.1821,1,1,Approved,Approved
APP-00191,Singapore,58,50-64,Male,0,135100,Part-time,682,0.158,94541,60,Personal,0,0.483,0,0.0342,1,0,Approved,Approved
APP-00192,US,65,65+,Male,0,32530,Part-time,695,0.31,29251,36,Home improvement,0,0.591,0,0.1065,1,0,Approved,Approved
